Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
INFY.NS,1041.2,-127.07,1130.18,1026.0,1026.0,1026.0,1.48,1.48,1.48,True,True,True,41.7|112.8|265.0|152.8|78.7|73.4|31.4|8.9|-2.8|-114.8|-130.8|-76.8|-58.1|-3.3|-79.3|-276.6|-186.0|-204.6|-144.8|-127.1
ZENSARTECH.NS,445.4,-71.95,467.85,438.4,438.4,441.1,1.6,1.6,0.97,True,True,True,-15.2|-15.1|78.6|59.3|-64.6|-98.0|-165.0|-239.8|-236.4|-259.6|-180.9|-131.8|-96.6|-65.2|-64.8|-101.1|-87.2|-94.7|-71.7|-71.9
WIPRO.NS,175.0,-82.64,187.17,171.49,171.49,171.49,2.05,2.05,2.05,True,True,True,121.6|114.0|130.7|71.9|54.3|-45.4|-135.2|-152.8|-159.4|-165.3|-132.3|-103.5|-86.0|-65.5|-66.1|-81.1|-64.2|-86.1|-92.7|-82.6
JYOTHYLAB.NS,200.4,-28.38,201.55,196.15,196.31,199.7,2.17,2.08,0.35,True,True,True,-69.9|-85.2|-85.7|-84.0|-85.8|-77.6|-101.4|-90.4|-72.6|-78.5|-56.4|43.5|51.2|52.2|27.9|-23.5|49.5|10.9|-25.4|-28.4
ITBEES.NS,30.36,-99.25,31.53,29.66,29.66,29.91,2.36,2.36,1.5,True,True,True,143.9|263.0|131.1|43.3|39.8|-33.2|-36.0|-51.1|-129.8|-164.3|-119.7|-81.3|-23.7|-33.3|-197.4|-148.8|-153.0|-117.2|-95.3|-99.3
JUBLFOOD.NS,423.2,12.48,424.14,408.8,411.1,416.05,3.52,2.94,1.72,True,True,True,-102.6|-103.9|-94.6|-61.8|-61.4|-67.7|-124.2|-97.6|-63.4|-104.5|-97.5|-40.8|-48.4|-52.0|-51.7|-89.7|74.8|53.6|-2.9|12.5
TATAELXSI.NS,4028.3,-80.65,4142.0,3875.5,3926.1,3926.1,3.94,2.6,2.6,True,True,True,78.1|70.5|149.4|86.1|30.8|42.9|8.8|-3.7|-48.7|-146.6|-126.8|-98.2|-79.4|-90.2|-76.8|-120.5|-48.6|-64.1|-86.4|-80.7
HAVELLS.NS,1178.3,63.82,1166.84,1123.6,1123.6,1163.3,4.87,4.87,1.29,True,True,True,-94.7|-191.4|-169.0|-138.1|-140.5|-128.1|-167.6|-120.2|-80.0|-121.8|-78.4|-0.2|8.6|62.4|64.5|20.2|42.5|30.1|38.7|63.8
DABUR.NS,423.9,-10.18,425.89,403.35,414.6,417.45,5.09,2.24,1.55,False,True,True,-79.9|-169.5|-173.5|-169.8|-139.0|-124.0|-124.2|-91.0|-50.4|-76.5|-62.7|-24.1|-3.0|-19.6|-27.7|-61.4|-64.8|-77.6|-64.9|-10.2
INDIAMART.NS,1955.4,-19.83,1976.52,1857.36,1900.23,1948.1,5.28,2.9,0.37,False,True,True,-36.2|-54.8|-78.9|-57.4|-42.6|0.9|3.6|47.8|43.9|-54.5|16.2|139.0|252.8|213.1|250.5|214.4|139.0|56.0|1.0|-19.8
