Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
HCLTECH.NS,1100.7,-91.25,1148.36,1089.5,1089.5,1091.4,1.03,1.03,0.85,True,True,True,53.6|113.2|216.5|81.4|-11.8|-30.5|-77.6|-74.6|-107.0|-219.0|-177.5|-135.6|-28.1|16.3|-16.4|-112.6|-60.4|-107.5|-104.3|-91.3
TCS.NS,2094.7,-83.82,2187.07,2055.0,2055.0,2055.0,1.93,1.93,1.93,True,True,True,-48.0|0.3|172.1|-23.4|-117.3|-136.9|-221.3|-182.4|-144.2|-160.6|-114.8|-85.9|-58.9|-24.7|-40.3|-126.0|-89.1|-135.7|-104.6|-83.8
WIPRO.NS,175.0,-82.64,187.17,171.49,171.49,171.49,2.05,2.05,2.05,True,True,True,121.6|114.0|130.7|71.9|54.3|-45.4|-135.2|-152.8|-159.4|-165.3|-132.3|-103.5|-86.0|-65.5|-66.1|-81.1|-64.2|-86.1|-92.7|-82.6
SBILIFE.NS,1744.9,-62.64,1774.81,1700.4,1700.4,1740.0,2.62,2.62,0.28,True,True,True,-90.4|-159.5|-218.4|-218.2|-205.8|-145.1|-147.4|-124.8|-143.3|-147.3|-132.4|-85.2|-43.0|-26.8|7.0|5.3|26.1|10.3|-31.9|-62.6
BRITANNIA.NS,5237.0,92.36,5171.8,5035.0,5035.0,5180.0,4.01,4.01,1.1,True,True,True,-93.3|-126.4|-162.0|-194.1|-176.3|-128.2|-128.5|-97.0|-48.9|-63.1|-45.6|-5.1|-2.3|13.8|26.2|12.1|25.7|61.0|91.0|92.4
UPL.NS,590.5,-111.72,619.02,565.15,587.0,587.0,4.49,0.6,0.6,True,True,True,30.3|30.7|-12.1|-3.9|-16.2|-40.7|-119.7|-103.9|-163.3|-247.6|-157.9|-81.6|-82.6|-91.6|-87.9|-95.9|-87.5|-102.4|-115.9|-111.7
RELIANCE.NS,1318.1,55.84,1302.73,1253.2,1253.2,1297.5,5.18,5.18,1.59,False,False,True,-76.9|-96.6|-122.0|-126.3|-148.0|-142.8|-198.1|-172.4|-137.7|-135.3|-75.1|-6.2|21.2|35.7|40.2|18.6|56.4|25.1|17.8|55.8
ITC.NS,290.0,68.68,285.7,275.05,275.05,288.4,5.44,5.44,0.55,False,False,True,-180.3|-237.3|-209.8|-206.1|-162.6|-124.6|-107.0|-95.3|-61.8|-58.8|-34.4|-1.2|32.5|46.4|48.3|70.5|75.2|69.0|65.4|68.7
ONGC.NS,233.1,-128.33,253.02,219.43,232.1,232.1,6.23,0.43,0.43,False,True,True,-175.0|-164.6|-147.3|-112.4|-93.1|-96.7|-92.1|-97.7|-113.3|-113.3|-132.5|-131.3|-116.0|-117.8|-111.3|-97.5|-86.1|-83.9|-95.3|-128.3
BHARTIARTL.NS,1850.7,46.21,1839.46,1740.5,1768.6,1848.0,6.33,4.64,0.15,False,True,True,-29.5|-56.1|-77.4|-48.0|-55.6|-68.4|-79.5|-76.7|-122.2|-109.9|-56.6|-0.5|34.3|79.1|102.4|161.9|182.9|150.0|85.8|46.2
HDFCLIFE.NS,585.45,62.69,576.09,541.07,541.07,583.1,8.2,8.2,0.4,False,False,True,-99.1|-174.0|-254.4|-225.3|-189.5|-129.5|-167.2|-146.5|-150.3|-152.2|-113.5|-40.4|-33.4|-19.2|15.7|36.2|68.4|92.1|66.5|62.7
HINDUNILVR.NS,2174.2,83.91,2131.01,2002.14,2044.9,2140.0,8.59,6.32,1.6,False,False,True,-145.6|-188.5|-192.9|-169.8|-150.1|-108.2|-93.0|-62.4|-7.0|-30.0|1.0|19.8|55.3|77.5|92.4|64.3|61.5|56.3|40.5|83.9
