Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
SECURCRED.NS,1.56,,1.56,1.56,1.56,1.56,0.0,0.0,0.0,True,True,True,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
UBL.NS,1315.2,-132.22,1408.98,1312.7,1312.7,1312.7,0.19,0.19,0.19,True,True,True,-41.3|-34.0|-41.9|-94.9|-100.3|-76.9|-102.5|-242.6|-135.6|-133.0|-155.6|-144.6|-165.5|-139.6|-135.9|-148.8|-134.1|-131.2|-121.9|-132.2
BRITANNIA.NS,5331.5,-80.73,5547.48,5279.5,5279.5,5289.5,0.98,0.98,0.79,True,True,True,89.8|48.8|58.7|55.9|63.7|98.0|116.0|116.3|109.7|-140.2|-240.9|-264.1|-212.9|-160.0|-116.0|-113.6|-76.0|-91.7|-88.4|-80.7
MHRIL.NS,218.87,-121.91,235.35,216.19,216.19,216.19,1.24,1.24,1.24,True,True,True,0.4|-54.6|-64.8|-73.0|-74.4|-98.0|-109.8|-97.9|-81.8|-92.2|-113.6|-135.0|-140.5|-110.7|-73.4|-99.1|-118.8|-133.7|-123.0|-121.9
PRSMJOHNSN.NS,118.8,-142.73,128.62,117.32,117.4,117.4,1.26,1.19,1.19,True,True,True,158.5|126.9|91.2|72.9|67.9|74.1|51.3|49.4|55.3|31.5|-48.4|-102.9|-129.5|-90.8|-105.0|-119.3|-116.7|-162.8|-177.9|-142.7
SBICARD.NS,620.2,-100.56,638.08,612.1,612.1,612.1,1.32,1.32,1.32,True,True,True,10.3|-52.5|-55.9|-92.4|-86.2|-91.4|-100.5|-76.8|-75.1|-77.2|-90.8|-113.4|-99.2|-101.8|-104.2|-131.6|-103.7|-118.3|-101.0|-100.6
SANOFI.NS,3163.2,-102.17,3312.89,3117.68,3157.0,3157.0,1.46,0.2,0.2,True,True,True,35.9|50.2|34.9|0.6|-23.0|-42.8|-64.9|-74.6|-78.5|-157.5|-215.6|-219.6|-171.5|-157.6|-140.8|-145.1|-98.0|-112.2|-102.9|-102.2
CENTRALBK.NS,31.27,-240.85,34.93,30.8,31.21,31.21,1.54,0.19,0.19,True,True,True,83.0|62.5|74.4|60.2|69.4|-3.6|13.0|110.5|166.6|169.9|24.5|-153.6|-194.4|-165.5|-160.0|-211.2|-135.6|-139.5|-98.6|-240.9
APOLLOTYRE.NS,371.8,-141.98,400.05,365.3,365.3,365.3,1.78,1.78,1.78,True,True,True,-2.1|-15.5|-6.0|-115.0|-130.1|-112.0|-156.5|-110.7|-92.0|-95.1|-105.8|-108.3|-115.1|-90.8|-64.3|-179.7|-204.8|-183.8|-155.8|-142.0
COROMANDEL.NS,1819.4,-89.58,1927.46,1786.0,1786.0,1786.0,1.87,1.87,1.87,True,True,True,-5.2|-10.4|-20.4|-55.8|-61.8|-43.8|-74.7|-56.9|-102.8|-152.3|-226.4|-211.4|-199.3|-159.7|-130.8|-139.4|-80.1|-83.8|-59.0|-89.6
BAYERCROP.NS,4382.5,-75.95,4523.87,4273.0,4279.1,4279.1,2.56,2.42,2.42,True,True,True,-45.1|-81.9|-77.7|-28.8|-17.3|-39.3|-90.5|-105.4|-96.1|-103.4|-153.2|-165.2|-170.9|-175.1|-175.1|-169.0|-128.1|-115.6|-98.0|-75.9
MRF.NS,126785.0,-94.69,128660.5,123455.0,124900.0,125410.0,2.7,1.51,1.1,True,True,True,-15.6|-44.8|-37.0|-72.3|-73.9|-75.6|-101.9|-86.7|-59.4|-58.9|-80.9|-107.3|-118.3|-101.9|-77.4|-67.7|-88.0|-108.5|-107.0|-94.7
PIIND.NS,2781.0,-245.57,3036.43,2700.0,2700.0,2700.0,3.0,3.0,3.0,True,True,True,85.9|82.4|81.6|39.9|36.4|41.0|-10.2|28.2|66.9|73.7|36.2|-110.7|-62.6|86.5|108.5|46.3|136.3|-313.7|-351.5|-245.6
BLUEDART.NS,4851.5,-105.88,5266.14,4683.0,4830.0,4830.0,3.6,0.45,0.45,True,True,True,93.2|86.5|80.6|75.7|73.5|102.9|87.6|116.3|139.6|148.0|-62.9|-153.4|-195.0|-206.1|-162.4|-177.8|-150.6|-145.4|-116.9|-105.9
EIDPARRY.NS,778.95,-101.09,820.99,750.95,757.8,757.8,3.73,2.79,2.79,True,True,True,51.9|44.8|29.8|2.6|1.5|28.3|9.3|17.9|-8.3|-141.6|-270.1|-289.4|-222.5|-210.2|-181.2|-188.9|-123.1|-97.3|-85.7|-101.1
SYMPHONY.NS,710.95,-126.75,790.68,685.0,709.0,709.0,3.79,0.28,0.28,True,True,True,132.5|160.3|134.5|92.2|87.3|65.5|14.4|17.3|3.8|-45.2|-95.0|-137.2|-126.4|-117.2|-93.4|-191.0|-150.9|-156.0|-137.8|-126.8
JYOTHYLAB.NS,203.75,-108.65,240.79,196.15,202.25,202.25,3.87,0.74,0.74,True,True,True,153.6|121.3|108.5|93.2|91.1|92.2|58.4|53.1|38.0|43.9|-59.8|-127.7|-153.6|-159.8|-153.3|-151.4|-130.4|-123.3|-113.3|-108.6
ZENSARTECH.NS,488.8,-86.09,508.37,470.1,470.1,470.1,3.98,3.98,3.98,True,True,True,-40.3|-77.5|-114.4|-143.4|-140.8|-132.1|-118.0|-78.7|-74.3|-56.1|-61.5|-81.2|-106.8|-117.5|-109.7|-129.1|-88.1|-98.1|-82.9|-86.1
GLAXO.NS,2306.9,-135.47,2394.48,2217.6,2297.0,2297.0,4.03,0.43,0.43,True,True,True,78.3|42.7|-15.8|-85.8|-93.6|-77.0|-64.1|7.6|93.6|100.4|47.4|47.1|33.5|2.8|17.1|-43.0|-44.5|-92.2|-116.9|-135.5
KEC.NS,485.05,-130.74,548.6,466.0,466.0,466.0,4.09,4.09,4.09,True,True,True,61.7|42.2|24.6|-18.6|-27.6|47.4|11.3|112.9|236.1|201.2|65.8|-111.0|-146.7|-136.2|-126.2|-294.7|-290.1|-234.9|-164.4|-130.7
KFINTECH.NS,817.6,-78.97,876.34,784.95,784.95,784.95,4.16,4.16,4.16,True,True,True,61.2|42.4|68.7|-41.8|-93.5|-128.8|-98.8|-64.2|-23.7|-42.5|-83.4|-131.8|-153.4|-160.8|-151.1|-142.8|-108.2|-99.2|-81.1|-79.0
GULFOILLUB.NS,901.5,-120.11,957.53,865.0,886.0,886.0,4.22,1.75,1.75,True,True,True,103.7|99.0|102.0|68.3|63.3|58.1|19.9|81.2|109.1|79.6|38.6|-93.2|-191.6|-173.8|-128.4|-217.2|-182.8|-166.7|-136.7|-120.1
