Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
NETFPHARMA.NS,23.36,,23.36,23.3,23.36,23.36,0.24,0.0,0.0,True,True,True,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
SYMPHONY.NS,710.95,-126.75,790.68,685.0,709.0,709.0,3.79,0.28,0.28,True,True,True,132.5|160.3|134.5|92.2|87.3|65.5|14.4|17.3|3.8|-45.2|-95.0|-137.2|-126.4|-117.2|-93.4|-191.0|-150.9|-156.0|-137.8|-126.8
KALYANKJIL.NS,352.4,-69.37,384.55,337.0,337.0,337.0,4.57,4.57,4.57,True,True,True,-17.8|-20.7|-21.9|-46.5|-47.4|-52.2|-76.7|-48.0|-50.3|-1.1|-182.9|-343.5|-329.0|-209.2|-169.5|-166.3|-134.2|-120.3|-87.9|-69.4
TCS.NS,2317.3,-53.05,2373.14,2206.4,2206.4,2252.2,5.03,5.03,2.89,False,False,True,-64.8|-51.6|-39.4|-53.2|-50.8|-84.3|-103.5|-86.5|-105.5|-120.4|-109.4|-170.8|-184.4|-202.2|-149.4|-126.6|-64.5|-60.8|-55.4|-53.0
ITC.NS,301.7,-114.03,308.39,287.0,300.1,301.0,5.12,0.53,0.23,False,True,True,48.4|46.3|155.8|187.1|167.7|124.9|88.7|72.6|25.4|-1.7|-22.9|-103.4|-79.0|-18.0|24.2|28.4|50.9|-12.8|-4.8|-114.0
HCLTECH.NS,1164.0,-36.97,1178.13,1103.4,1103.4,1121.4,5.49,5.49,3.8,False,False,True,-171.4|-154.9|-134.3|-118.7|-101.8|-87.7|-80.5|-74.7|-74.4|-65.7|-57.9|-84.8|-93.3|-115.6|-108.9|-113.3|-36.5|-39.8|-31.9|-37.0
VOLTAS.NS,1268.1,-71.07,1350.61,1186.8,1198.6,1198.6,6.85,5.8,5.8,False,False,False,121.2|110.6|84.8|43.2|32.5|38.7|-11.4|-46.3|-68.8|-125.2|-165.1|-174.9|-170.1|-134.8|-140.7|-130.7|-77.4|-64.9|-68.1|-71.1
BHARTIARTL.NS,1871.4,42.76,1853.08,1740.5,1740.5,1869.3,7.52,7.52,0.11,False,False,True,-37.1|8.7|121.4|128.6|125.7|0.4|-119.7|-80.9|-70.1|-65.3|-225.4|-237.7|-167.1|65.3|166.4|186.3|145.6|100.9|71.8|42.8
HATSUN.NS,920.95,-120.44,955.15,855.3,911.45,911.45,7.68,1.04,1.04,False,True,True,125.6|109.6|68.5|36.3|23.9|-2.3|-6.2|44.2|59.4|52.2|-4.8|-88.3|-98.3|-76.0|-122.8|-139.7|-71.9|-70.4|-111.2|-120.4
INFY.NS,1174.5,54.71,1162.61,1089.0,1089.0,1118.0,7.85,7.85,5.05,False,False,False,-230.3|-199.9|-148.9|-117.1|-95.3|-88.6|-80.1|-72.3|-73.1|-58.7|-48.8|-83.7|-94.6|-128.0|-111.3|-87.9|42.5|90.4|79.4|54.7
CDSL.NS,1204.1,-63.11,1240.35,1116.3,1152.7,1152.7,7.87,4.46,4.46,False,True,True,46.2|43.9|31.4|-21.7|-42.4|-100.5|-104.2|-68.0|-67.8|-91.7|-122.5|-161.7|-144.3|-128.9|-119.9|-130.3|-80.9|-57.2|-59.0|-63.1
MAPMYINDIA.NS,860.75,-173.68,955.6,795.0,854.1,854.1,8.27,0.78,0.78,False,True,True,44.5|59.5|40.7|32.1|5.2|40.6|46.8|130.3|211.0|125.4|401.0|234.3|166.0|134.9|117.0|-7.6|-0.1|-51.1|-129.3|-173.7
WIPRO.NS,203.11,85.05,197.16,186.5,187.0,189.2,8.91,8.61,7.35,False,False,False,34.8|23.4|-3.7|-33.0|-60.5|-63.1|-101.4|-126.7|-147.8|-137.5|-142.0|-230.8|-248.0|-207.9|-144.5|-108.1|-41.8|-18.0|31.8|85.0
TECHM.NS,1422.2,-25.72,1431.51,1304.1,1327.3,1363.7,9.06,7.15,4.29,False,False,True,-116.4|-82.4|-4.7|41.0|50.2|44.5|13.9|28.9|2.0|11.7|12.5|-109.6|-142.9|-174.1|-116.9|-38.7|78.4|36.6|-2.3|-25.7
VINATIORGA.NS,1318.5,-41.87,1337.53,1203.0,1276.2,1286.0,9.6,3.31,2.53,False,True,True,-11.6|12.3|82.0|80.6|113.2|173.2|134.0|200.1|226.6|172.4|124.2|25.8|-28.4|26.9|20.1|74.7|31.3|-18.6|-12.4|-41.9
BATAINDIA.NS,688.2,-96.07,708.96,605.0,676.05,676.05,13.75,1.8,1.8,False,True,True,45.5|29.0|23.8|0.8|-12.4|-17.6|-28.8|-36.3|-23.6|-58.1|-101.5|-132.2|-124.3|-97.9|-118.5|-176.9|-134.5|-140.7|-99.5|-96.1
