Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
RELIANCE.NS,1291.0,-142.76,1335.11,1284.06,1287.15,1287.15,0.54,0.3,0.3,True,True,True,19.2|-30.2|-52.6|-47.5|-85.5|-99.1|-99.7|-69.9|-54.5|-55.1|-43.6|-50.8|-55.3|-55.6|-76.9|-96.6|-122.0|-126.3|-148.0|-142.8
TCS.NS,2198.9,-136.86,2279.37,2176.88,2176.88,2192.0,1.01,1.01,0.31,True,True,True,-109.4|-170.8|-184.4|-202.2|-149.4|-126.6|-64.5|-60.8|-55.4|-53.0|-30.8|-42.9|-50.4|-41.5|-48.0|0.3|172.1|-23.4|-117.3|-136.9
BRITANNIA.NS,5120.5,-128.24,5287.72,5035.0,5035.0,5035.0,1.7,1.7,1.7,True,True,True,-240.9|-264.1|-212.9|-160.0|-116.0|-113.6|-76.0|-91.7|-88.4|-80.7|-71.4|-65.7|-62.8|-56.8|-93.3|-126.4|-162.0|-194.1|-176.3|-128.2
ITC.NS,280.7,-124.63,292.27,275.05,275.05,275.05,2.05,2.05,2.05,True,True,True,-22.9|-103.4|-79.0|-18.0|24.2|28.4|50.9|-12.8|-4.8|-114.0|-98.7|-125.7|-134.2|-141.0|-180.3|-237.3|-209.8|-206.1|-162.6|-124.6
HDFCBANK.NS,747.05,-75.72,759.54,726.65,733.15,733.15,2.81,1.9,1.9,True,True,True,-139.3|-190.3|-170.1|-90.3|-47.8|-76.7|-70.2|-95.6|-77.4|-34.2|80.9|75.5|-55.2|-79.1|-136.1|-141.2|-124.2|-82.4|-68.3|-75.7
BHARTIARTL.NS,1798.2,-68.4,1846.45,1740.5,1740.5,1777.4,3.32,3.32,1.17,True,True,True,-225.4|-237.7|-167.1|65.3|166.4|186.3|145.6|100.9|71.8|42.8|35.0|-3.0|-3.2|-3.6|-29.5|-56.1|-77.4|-48.0|-55.6|-68.4
HDFCLIFE.NS,575.3,-129.49,602.13,555.1,570.25,570.25,3.64,0.89,0.89,True,True,True,69.8|8.3|-8.8|43.7|54.8|-3.7|55.1|26.7|63.5|90.5|97.9|91.0|35.6|4.6|-99.1|-174.0|-254.4|-225.3|-189.5|-129.5
SBILIFE.NS,1782.8,-145.07,1845.69,1717.61,1759.0,1759.0,3.8,1.35,1.35,True,True,True,13.0|-28.9|-35.6|-2.1|30.7|17.1|83.9|78.2|61.6|85.9|136.5|107.5|47.0|18.7|-90.4|-159.5|-218.4|-218.2|-205.8|-145.1
HCLTECH.NS,1154.7,-30.46,1167.54,1103.4,1103.4,1147.0,4.65,4.65,0.67,True,True,True,-57.9|-84.8|-93.3|-115.6|-108.9|-113.3|-36.5|-39.8|-31.9|-37.0|-25.3|-30.8|-33.6|-21.3|53.6|113.2|216.5|81.4|-11.8|-30.5
HINDUNILVR.NS,2121.5,-108.2,2193.1,2022.5,2065.7,2065.7,4.89,2.7,2.7,True,True,True,22.6|-13.0|-32.7|-74.6|-60.8|-121.4|-108.5|-171.4|-191.8|-157.9|-123.1|-112.3|-111.2|-101.0|-145.6|-188.5|-192.9|-169.8|-150.1|-108.2
M&M.NS,3040.5,-79.59,3094.03,2896.0,2913.1,2913.1,4.99,4.37,4.37,True,True,True,60.6|14.6|-40.3|-21.3|-28.8|-78.2|-48.7|-53.7|-44.4|-64.7|-20.7|-41.3|-40.5|-43.7|-98.5|-153.8|-160.4|-129.0|-108.5|-79.6
ULTRACEMCO.NS,10912.0,-175.94,11456.55,10325.0,10846.0,10846.0,5.69,0.61,0.61,False,True,True,-15.4|-130.8|-145.8|-87.9|-116.0|-127.0|-122.7|-128.9|-89.0|-47.0|2.2|-15.1|0.4|2.6|-60.9|-124.3|-172.5|-166.2|-176.7|-175.9
ICICIBANK.NS,1262.1,26.93,1253.2,1187.6,1213.7,1213.7,6.27,3.99,3.99,False,True,True,-80.2|-101.4|-105.2|-84.0|-75.4|-77.0|-82.1|-104.8|-79.0|-12.7|109.7|119.1|85.5|58.9|18.8|-58.6|-121.9|-86.2|-22.8|26.9
WIPRO.NS,198.37,-45.43,199.03,186.5,187.0,188.15,6.36,6.08,5.43,False,False,False,-142.0|-230.8|-248.0|-207.9|-144.5|-108.1|-41.8|-18.0|31.8|85.0|149.8|117.8|76.2|59.5|121.6|114.0|130.7|71.9|54.3|-45.4
BAJAJFINSV.NS,1703.2,-118.96,1759.34,1597.0,1693.8,1698.0,6.65,0.55,0.31,False,True,True,-6.5|-93.3|-125.3|-123.4|-107.6|-101.5|-58.6|-34.8|-25.9|-5.4|86.6|83.9|81.3|78.1|34.7|-12.4|-90.7|-102.2|-121.1|-119.0
KOTAKBANK.NS,377.45,-82.51,383.32,345.5,372.2,372.2,9.25,1.41,1.41,False,True,True,50.3|-17.3|30.7|67.1|168.3|173.9|100.3|37.5|40.9|72.2|195.1|146.7|105.4|92.9|51.0|-39.8|-84.9|-57.5|-39.0|-82.5
MARUTI.NS,13050.0,-46.2,13119.25,11887.34,12700.0,12700.0,9.78,2.76,2.76,False,True,True,31.9|-51.9|-97.9|-103.2|-50.7|-112.4|-107.3|-109.7|-75.3|-71.6|-30.6|-17.7|5.2|25.1|-16.9|-72.0|-104.2|-53.8|-31.6|-46.2
BPCL.NS,295.0,-14.75,295.53,266.6,276.6,290.1,10.65,6.65,1.69,False,False,True,-126.3|-203.4|-115.7|-93.5|-151.3|-187.6|-122.1|-84.2|-18.6|-28.9|90.9|74.3|83.7|86.7|19.5|-1.2|-31.9|-47.4|-24.1|-14.8
DRREDDY.NS,1278.2,-69.35,1302.18,1148.4,1230.0,1248.4,11.3,3.92,2.39,False,True,True,4.6|-16.4|-38.2|-2.1|77.0|79.2|77.2|49.7|32.3|9.1|42.4|71.0|66.7|37.7|6.8|-38.0|-128.0|-137.0|-120.9|-69.4
UPL.NS,637.45,-40.72,641.82,565.15,618.3,630.0,12.79,3.1,1.18,False,True,True,106.7|-83.8|-148.7|-89.7|-104.4|-114.9|-59.9|-102.2|-98.3|-97.6|58.1|119.5|108.3|92.8|30.3|30.7|-12.1|-3.9|-16.2|-40.7
BAJFINANCE.NS,889.4,-78.76,910.26,787.9,860.45,860.45,12.88,3.36,3.36,False,True,True,31.2|-82.0|-129.2|-97.8|-73.3|-76.5|-29.4|-44.4|-57.4|-53.4|15.5|9.0|-11.3|-4.3|-63.6|-109.0|-170.6|-167.7|-162.3|-78.8
TATACONSUM.NS,1130.9,-140.91,1192.02,998.75,1124.2,1124.2,13.23,0.6,0.6,False,True,True,260.3|248.4|183.0|129.6|116.8|79.3|54.6|29.6|18.0|4.5|9.6|1.9|22.5|29.5|-22.1|-101.6|-122.0|-119.7|-123.7|-140.9
TECHM.NS,1483.5,68.24,1448.22,1304.1,1327.3,1453.1,13.76,11.77,2.09,False,False,True,12.5|-109.6|-142.9|-174.1|-116.9|-38.7|78.4|36.6|-2.3|-25.7|-1.3|32.8|53.0|40.9|94.5|191.2|226.8|88.4|53.1|68.2
NTPC.NS,361.65,-184.23,385.96,313.09,358.65,358.65,15.51,0.84,0.84,False,True,True,-33.9|-79.6|-155.9|-70.2|-76.3|-170.0|-140.2|-117.4|-95.3|-105.8|-90.5|-74.5|48.8|64.8|-51.7|-194.1|-308.3|-269.0|-210.7|-184.2
POWERGRID.NS,285.65,-113.35,295.88,247.22,278.4,278.4,15.54,2.6,2.6,False,True,True,-85.6|-191.9|-279.8|-190.5|-127.8|-207.8|-147.6|-119.9|-85.6|-109.8|-99.2|-107.3|-67.6|-43.7|-97.5|-136.1|-179.8|-150.2|-140.2|-113.3
SUNPHARMA.NS,1782.2,-111.16,1839.77,1538.01,1756.8,1756.8,15.88,1.45,1.45,False,True,True,110.8|94.1|68.5|78.9|93.2|104.0|98.8|84.0|87.2|46.3|-6.0|-30.6|8.2|-26.0|-137.4|-178.2|-190.0|-171.8|-146.1|-111.2
DIVISLAB.NS,6623.0,-90.7,6743.75,5636.5,6450.5,6450.5,17.5,2.67,2.67,False,True,True,110.9|88.1|113.3|145.0|103.9|83.7|116.7|104.8|93.5|92.3|47.0|8.1|34.4|30.9|-60.0|-157.1|-210.6|-158.8|-102.2|-90.7
HEROMOTOCO.NS,4835.0,-132.36,4979.18,4017.85,4747.1,4747.1,20.34,1.85,1.85,False,True,True,34.3|-18.6|-93.2|-98.2|-42.4|-121.9|-99.5|-119.2|-88.4|-97.2|-75.2|-76.4|-22.0|-3.2|-78.6|-152.6|-142.1|-126.7|-83.9|-132.4
ONGC.NS,264.75,-96.68,283.3,219.43,261.05,261.05,20.65,1.42,1.42,False,True,True,-94.1|57.5|83.3|108.0|94.9|58.0|39.7|51.7|33.7|-17.6|-82.3|-66.4|-150.3|-151.6|-175.0|-164.6|-147.3|-112.4|-93.1|-96.7
CIPLA.NS,1401.3,40.33,1379.9,1154.87,1262.85,1341.42,21.34,10.96,4.46,False,False,True,44.9|6.1|40.3|200.3|212.9|168.9|127.6|97.0|86.8|70.4|77.5|77.9|77.9|65.4|38.4|20.9|-27.3|-28.2|-7.9|40.3
LT.NS,3953.2,5.09,3946.43,3256.29,3809.79,3894.0,21.4,3.76,1.52,False,True,True,-183.6|-246.4|-169.9|-91.4|-117.2|-120.5|-77.0|-83.8|-51.3|-14.7|81.6|105.5|118.2|112.3|131.5|89.6|33.7|3.4|2.6|5.1
