Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
SECURCRED.NS,1.56,,1.56,1.56,1.56,1.56,0.0,0.0,0.0,True,True,True,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
EIDPARRY.NS,735.2,-105.8,774.48,733.0,733.0,733.0,0.3,0.3,0.3,True,True,True,-270.1|-289.4|-222.5|-210.2|-181.2|-188.9|-123.1|-97.3|-85.7|-101.1|-76.7|-97.9|-143.0|-145.8|-107.5|-119.1|-105.8|-89.5|-78.7|-105.8
SBICARD.NS,589.6,-192.15,620.09,587.2,587.2,587.2,0.41,0.41,0.41,True,True,True,-90.8|-113.4|-99.2|-101.8|-104.2|-131.6|-103.7|-118.3|-101.0|-100.6|-53.1|-31.6|-56.2|-62.0|-63.2|-125.9|-202.2|-221.8|-248.8|-192.2
GLAXO.NS,2164.1,-104.94,2268.73,2154.0,2154.0,2154.0,0.47,0.47,0.47,True,True,True,47.4|47.1|33.5|2.8|17.1|-43.0|-44.5|-92.2|-116.9|-135.5|-124.0|-134.9|-109.3|-104.6|-114.6|-124.4|-126.6|-112.9|-110.3|-104.9
RELIANCE.NS,1291.0,-142.76,1335.11,1284.06,1287.15,1287.15,0.54,0.3,0.3,True,True,True,19.2|-30.2|-52.6|-47.5|-85.5|-99.1|-99.7|-69.9|-54.5|-55.1|-43.6|-50.8|-55.3|-55.6|-76.9|-96.6|-122.0|-126.3|-148.0|-142.8
BLUEDART.NS,4700.1,-89.81,4879.88,4675.0,4675.0,4675.0,0.54,0.54,0.54,True,True,True,-62.9|-153.4|-195.0|-206.1|-162.4|-177.8|-150.6|-145.4|-116.9|-105.9|-84.1|-80.6|-89.8|-90.0|-83.7|-86.0|-85.1|-90.4|-88.6|-89.8
SYMPHONY.NS,687.4,-89.82,723.8,683.55,683.55,683.55,0.56,0.56,0.56,True,True,True,-95.0|-137.2|-126.4|-117.2|-93.4|-191.0|-150.9|-156.0|-137.8|-126.8|-101.8|-102.2|-100.5|-95.5|-96.8|-100.3|-97.2|-93.2|-84.5|-89.8
ECLERX.NS,1380.1,-185.54,1524.2,1371.2,1371.2,1371.2,0.65,0.65,0.65,True,True,True,147.1|110.3|25.2|-7.6|-14.9|-48.4|41.4|20.7|22.4|43.5|67.2|44.1|10.3|-6.2|-46.7|-94.4|-85.8|-137.9|-182.8|-185.5
DALBHARAT.NS,1688.6,-127.55,1753.69,1675.1,1675.1,1676.9,0.81,0.81,0.7,True,True,True,-347.0|-251.8|-200.9|-165.6|-152.9|-149.0|-121.2|-110.6|-79.7|-39.8|-15.9|-27.8|-26.6|-23.4|-43.5|-51.7|-59.1|-79.5|-76.8|-127.5
TCS.NS,2198.9,-136.86,2279.37,2176.88,2176.88,2192.0,1.01,1.01,0.31,True,True,True,-109.4|-170.8|-184.4|-202.2|-149.4|-126.6|-64.5|-60.8|-55.4|-53.0|-30.8|-42.9|-50.4|-41.5|-48.0|0.3|172.1|-23.4|-117.3|-136.9
MRF.NS,123505.0,-123.39,126412.75,122000.0,122000.0,123350.0,1.23,1.23,0.13,True,True,True,-80.9|-107.3|-118.3|-101.9|-77.4|-67.7|-88.0|-108.5|-107.0|-94.7|-15.3|-38.4|-59.9|-63.9|-184.2|-158.5|-138.1|-119.4|-107.1|-123.4
RVNL.NS,235.61,-112.05,263.47,232.73,232.73,232.73,1.24,1.24,1.24,True,True,True,-20.7|-164.7|-179.2|-166.0|-163.6|-203.6|-180.0|-173.5|-128.5|-115.7|-91.2|-139.1|-155.3|-142.2|-141.2|-139.9|-147.1|-134.4|-119.6|-112.0
EMAMILTD.NS,384.8,-105.1,411.33,379.7,379.7,379.7,1.34,1.34,1.34,True,True,True,-11.0|-121.5|-163.3|-197.1|-167.7|-178.5|-94.4|-87.9|-118.9|-166.6|-151.3|-138.2|-133.9|-125.6|-116.8|-110.6|-110.4|-118.1|-100.2|-105.1
PFIZER.NS,4456.3,-138.89,4652.68,4396.7,4396.7,4396.7,1.36,1.36,1.36,True,True,True,56.6|-36.1|-182.8|-148.0|80.8|141.2|60.7|-61.3|-107.9|-77.3|-71.3|-94.8|-99.3|-105.9|-102.0|-148.7|-146.4|-154.2|-153.5|-138.9
PRSMJOHNSN.NS,119.31,-78.34,122.38,117.32,117.4,117.65,1.7,1.63,1.41,True,True,True,-48.4|-102.9|-129.5|-90.8|-105.0|-119.3|-116.7|-162.8|-177.9|-142.7|-142.3|-68.9|-67.5|-77.0|-80.4|-36.7|-58.0|-90.0|-95.4|-78.3
BRITANNIA.NS,5120.5,-128.24,5287.72,5035.0,5035.0,5035.0,1.7,1.7,1.7,True,True,True,-240.9|-264.1|-212.9|-160.0|-116.0|-113.6|-76.0|-91.7|-88.4|-80.7|-71.4|-65.7|-62.8|-56.8|-93.3|-126.4|-162.0|-194.1|-176.3|-128.2
BAYERCROP.NS,4350.1,-52.31,4425.05,4273.0,4279.1,4342.2,1.8,1.66,0.18,True,True,True,-153.2|-165.2|-170.9|-175.1|-175.1|-169.0|-128.1|-115.6|-98.0|-75.9|-64.5|-19.5|55.7|55.8|31.8|33.3|-3.0|-28.3|-32.7|-52.3
