Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
WIPRO.NS,178.93,-159.39,197.45,178.5,178.5,178.5,0.24,0.24,0.24,True,True,True,-207.9|-144.5|-108.1|-41.8|-18.0|31.8|85.0|149.8|117.8|76.2|59.5|121.6|114.0|130.7|71.9|54.3|-45.4|-135.2|-152.8|-159.4
ZENSARTECH.NS,457.25,-236.4,488.38,455.85,455.85,455.85,0.31,0.31,0.31,True,True,True,-117.5|-109.7|-129.1|-88.1|-98.1|-82.9|-86.1|-62.3|-68.3|-59.8|-55.5|-15.2|-15.1|78.6|59.3|-64.6|-98.0|-165.0|-239.8|-236.4
KALYANKJIL.NS,338.7,-116.78,353.15,337.0,337.0,337.3,0.5,0.5,0.42,True,True,True,-209.2|-169.5|-166.3|-134.2|-120.3|-87.9|-69.4|-55.2|-55.2|-51.0|-47.6|-37.7|-56.8|-57.4|-47.8|17.2|121.9|48.7|38.9|-116.8
JYOTHYLAB.NS,198.7,-72.59,205.76,196.15,196.5,196.5,1.3,1.12,1.12,True,True,True,-159.8|-153.3|-151.4|-130.4|-123.3|-113.3|-108.6|-98.7|-85.3|-74.7|-67.6|-69.9|-85.2|-85.7|-84.0|-85.8|-77.6|-101.4|-90.4|-72.6
NHPC.NS,72.67,-130.3,77.12,71.62,71.82,72.5,1.47,1.18,0.23,True,True,True,-138.0|-149.0|-128.1|-76.0|-57.5|-43.7|-60.7|-46.6|-54.8|-0.2|27.7|-10.0|-89.5|-273.0|-157.6|-119.8|-126.1|-161.9|-133.3|-130.3
M&M.NS,2952.5,-118.81,3062.77,2896.0,2913.1,2943.2,1.95,1.35,0.32,True,True,True,-21.3|-28.8|-78.2|-48.7|-53.7|-44.4|-64.7|-20.7|-41.3|-40.5|-43.7|-98.5|-153.8|-160.4|-129.0|-108.5|-79.6|-141.2|-101.9|-118.8
BHARTIARTL.NS,1775.2,-122.25,1850.53,1740.5,1740.5,1771.0,1.99,1.99,0.24,True,True,True,65.3|166.4|186.3|145.6|100.9|71.8|42.8|35.0|-3.0|-3.2|-3.6|-29.5|-56.1|-77.4|-48.0|-55.6|-68.4|-79.5|-76.7|-122.2
HDFCBANK.NS,746.85,-71.21,757.55,726.65,732.3,732.3,2.78,1.99,1.99,True,True,True,-90.3|-47.8|-76.7|-70.2|-95.6|-77.4|-34.2|80.9|75.5|-55.2|-79.1|-136.1|-141.2|-124.2|-82.4|-68.3|-75.7|-144.7|-128.9|-71.2
HAVELLS.NS,1155.5,-80.03,1182.29,1123.6,1123.6,1129.1,2.84,2.84,2.34,True,True,True,-130.1|-105.5|-132.5|-92.0|-90.5|-67.1|-54.0|-45.4|-56.9|-20.9|-16.6|-94.7|-191.4|-169.0|-138.1|-140.5|-128.1|-167.6|-120.2|-80.0
AVONMORE.NS,9.78,-128.53,10.69,9.51,9.51,9.51,2.84,2.84,2.84,True,True,True,-164.2|-202.9|-180.7|-142.0|-135.2|-108.5|-98.3|-32.6|-68.6|-78.4|-66.2|-58.4|-68.3|-146.5|-175.9|-176.2|-167.9|-196.1|-145.7|-128.5
JIOFIN.NS,230.17,-95.15,236.12,223.3,227.21,227.68,3.08,1.3,1.09,True,True,True,-128.8|-100.3|-117.3|-89.3|-89.9|-55.7|-34.5|-1.3|-0.2|15.6|22.2|2.3|-36.5|-37.1|-50.0|-28.6|6.3|-123.3|-70.4|-95.1
ITC.NS,283.65,-61.85,290.08,275.05,275.05,275.05,3.13,3.13,3.13,True,True,True,-18.0|24.2|28.4|50.9|-12.8|-4.8|-114.0|-98.7|-125.7|-134.2|-141.0|-180.3|-237.3|-209.8|-206.1|-162.6|-124.6|-107.0|-95.3|-61.8
JUBLFOOD.NS,425.05,-63.44,437.71,408.8,411.7,411.7,3.98,3.24,3.24,True,True,True,-82.9|-58.3|-91.3|-21.2|0.9|-169.2|-163.9|-119.1|-135.8|-134.5|-124.3|-102.6|-103.9|-94.6|-61.8|-61.4|-67.7|-124.2|-97.6|-63.4
ITBEES.NS,31.42,-51.08,32.09,29.98,29.98,31.4,4.8,4.8,0.06,True,True,True,-142.1|-152.9|-113.7|18.1|39.6|35.4|20.0|28.1|23.3|21.0|15.6|73.3|143.9|263.0|131.1|43.3|39.8|-33.2|-36.0|-51.1
INDIAMART.NS,2010.0,43.94,1999.93,1911.0,1911.0,1963.8,5.18,5.18,2.35,False,False,True,-191.7|-158.4|-161.9|-109.2|-83.1|-37.1|-22.3|-14.5|1.7|-21.8|-12.5|-36.2|-54.8|-78.9|-57.4|-42.6|0.9|3.6|47.8|43.9
TATAELXSI.NS,4092.2,-48.69,4187.95,3875.5,3875.5,4075.8,5.59,5.59,0.4,False,False,True,-128.0|-81.4|-63.0|16.9|-1.8|37.6|91.2|142.0|117.7|109.5|91.8|78.1|70.5|149.4|86.1|30.8|42.9|8.8|-3.7|-48.7
SUNTV.NS,506.05,-39.56,512.44,477.21,480.9,502.3,6.04,5.23,0.75,False,False,True,-160.2|-129.2|-139.5|-130.6|-132.0|-110.6|-139.0|-129.3|-116.5|-71.1|-63.7|-72.4|-45.4|-42.2|-44.5|-49.5|-5.4|-48.8|-17.7|-39.6
DABUR.NS,427.9,-50.44,440.5,403.35,414.6,414.6,6.09,3.21,3.21,False,True,True,46.7|55.5|-4.1|-34.4|-72.7|-77.8|-59.1|-61.9|-76.4|-89.6|-81.4|-79.9|-169.5|-173.5|-169.8|-139.0|-124.0|-124.2|-91.0|-50.4
INFY.NS,1145.3,-2.81,1152.68,1065.93,1065.93,1142.58,7.45,7.45,0.24,False,False,True,-128.0|-111.3|-87.9|42.5|90.4|79.4|54.7|32.0|20.8|-11.0|-11.0|41.7|112.8|265.0|152.8|78.7|73.4|31.4|8.9|-2.8
TNPETRO.NS,85.36,-128.36,88.79,78.67,84.8,84.8,8.5,0.66,0.66,False,True,True,48.6|50.4|3.9|126.9|9.1|69.3|128.6|118.5|130.8|87.1|56.1|14.4|-75.8|-100.2|-96.8|-96.9|-123.8|-148.4|-117.8|-128.4
NATCOPHARM.NS,854.6,-107.91,1056.7,786.24,851.1,851.1,8.69,0.41,0.41,False,True,True,116.4|120.6|53.5|16.5|19.3|53.5|49.0|34.5|59.5|58.7|34.8|-265.3|-394.5|-293.2|-219.9|-165.2|-147.3|-134.6|-121.5|-107.9
ICICIBANK.NS,1293.3,144.92,1257.0,1187.6,1213.7,1232.2,8.9,6.56,4.96,False,False,True,-84.0|-75.4|-77.0|-82.1|-104.8|-79.0|-12.7|109.7|119.1|85.5|58.9|18.8|-58.6|-121.9|-86.2|-22.8|26.9|-16.8|72.2|144.9
BANKBEES.NS,567.99,107.87,560.42,515.98,545.95,554.52,10.08,4.04,2.43,False,True,True,-123.6|-110.9|-128.9|-107.8|-110.7|-83.2|-46.0|49.7|67.9|53.2|44.7|13.9|-46.0|-65.0|-39.3|1.8|49.2|0.8|86.8|107.9
ITCHOTELS.NS,150.48,-115.27,153.72,136.41,149.32,149.32,10.32,0.78,0.78,False,True,True,-149.3|-104.3|-137.2|-93.2|-116.3|-66.2|-65.9|-26.9|-40.9|-24.5|-18.7|-20.3|-57.2|-89.7|-107.8|-38.3|-33.6|-181.3|-162.1|-115.3
LTFOODS.NS,367.9,-138.49,394.88,332.26,365.1,365.1,10.73,0.77,0.77,False,True,True,-118.2|-162.4|-177.2|-100.9|-120.0|-108.0|-123.3|-80.0|-38.9|-55.2|-62.8|-108.4|-182.8|-147.0|-175.2|-151.2|-118.2|-166.5|-137.9|-138.5
DRREDDY.NS,1271.7,-83.26,1302.21,1148.4,1230.0,1248.4,10.74,3.39,1.87,False,True,True,-2.1|77.0|79.2|77.2|49.7|32.3|9.1|42.4|71.0|66.7|37.7|6.8|-38.0|-128.0|-137.0|-120.9|-69.4|-65.0|-85.0|-83.3
TRIDENT.NS,23.88,-79.84,24.24,21.53,23.27,23.71,10.9,2.63,0.72,False,True,True,-194.9|-186.6|-224.1|-156.4|-155.3|-99.6|-61.8|-36.9|-35.6|-26.0|-19.2|-53.0|-19.7|-58.3|-62.0|-29.6|0.6|-49.2|-34.6|-79.8
AUTOBEES.NS,265.78,-55.17,268.56,237.21,260.45,264.02,12.04,2.05,0.67,False,True,True,-68.9|-29.4|-97.8|-95.7|-78.6|-19.5|-27.0|28.5|41.3|88.4|95.5|41.6|-29.5|-61.1|-31.0|-6.3|13.4|-73.8|-38.2|-55.2
NTPC.NS,351.65,-140.42,380.64,313.09,351.1,351.1,12.32,0.16,0.16,False,True,True,-70.2|-76.3|-170.0|-140.2|-117.4|-95.3|-105.8|-90.5|-74.5|48.8|64.8|-51.7|-194.1|-308.3|-269.0|-210.7|-184.2|-158.0|-144.7|-140.4
SHAKTIPUMP.NS,516.15,32.03,514.11,456.35,487.5,509.1,13.1,5.88,1.38,False,False,True,-216.4|-219.9|-224.1|-161.6|-137.1|-107.5|-95.4|-72.4|-65.2|-61.4|-59.0|-17.6|-28.9|-44.1|-43.1|60.4|134.6|34.4|59.9|32.0
BEL.NS,408.35,-60.63,415.82,359.67,399.0,399.0,13.54,2.34,2.34,False,True,True,-79.7|-111.0|-120.8|-100.8|-186.3|-97.8|-120.4|-82.5|-65.8|-82.7|-75.2|-122.6|-153.8|-161.2|-147.3|-113.0|-102.2|-83.6|-38.3|-60.6
NAVA.NS,570.35,-139.38,608.99,501.65,567.65,567.65,13.69,0.48,0.48,False,True,True,52.3|-112.7|-227.6|-195.1|-134.3|-130.0|-127.4|-101.3|-90.7|-74.4|-69.6|-84.6|-73.1|-69.8|-57.6|-56.6|-63.6|-82.2|-87.7|-139.4
INDIGO.NS,4524.9,84.98,4428.95,3895.2,4146.3,4350.0,16.17,9.13,4.02,False,False,True,-92.4|-58.9|-75.4|-72.1|-74.0|12.6|47.3|90.5|85.9|117.3|125.5|44.8|76.5|31.6|58.6|67.2|55.1|-10.9|54.2|85.0
KPITTECH.NS,732.95,-52.66,756.93,624.9,690.45,730.0,17.29,6.16,0.4,False,False,True,-135.2|-104.9|-120.4|8.7|68.1|58.6|62.9|81.9|126.2|109.6|84.8|93.5|121.1|153.3|83.7|50.1|60.1|12.1|5.8|-52.7
JUNIORBEES.NS,746.62,-59.23,755.62,632.34,728.65,741.6,18.07,2.47,0.68,False,True,True,-96.0|-90.6|-174.0|-110.5|-97.7|-32.1|11.1|58.2|82.5|109.1|128.5|79.6|19.3|-23.5|-20.3|9.8|19.4|-30.0|-28.9|-59.2
TNPL.NS,144.33,-77.99,148.19,121.51,142.21,142.21,18.78,1.49,1.49,False,True,True,22.2|-9.9|-57.9|-23.4|-15.5|-14.6|-41.6|-38.4|-66.8|-65.6|-57.5|-72.2|-96.7|-102.2|-109.1|-120.7|-160.9|-175.7|-74.9|-78.0
ARE&M.NS,811.05,-80.22,849.37,670.0,793.0,807.1,21.05,2.28,0.49,False,True,True,-50.8|-79.6|-149.6|-141.6|-130.3|-90.4|-85.4|23.7|90.8|91.8|100.1|71.0|40.4|7.0|-0.4|14.9|2.8|-58.6|-50.8|-80.2
ASIANHOTNR.NS,300.35,-10.85,303.16,247.5,291.5,291.5,21.35,3.04,3.04,False,True,True,64.7|83.6|89.7|11.9|42.7|129.3|10.5|129.9|211.8|226.1|247.4|196.4|124.1|79.9|49.2|0.5|-8.4|-68.7|-20.0|-10.9
AAVAS.NS,1299.6,-92.66,1339.56,1060.4,1247.6,1247.6,22.56,4.17,4.17,False,True,True,-8.8|-42.3|-172.9|-178.4|-122.2|-61.2|-5.2|-15.0|-3.5|-35.9|-64.4|-109.4|-156.7|-180.0|-146.0|-136.2|-126.8|-173.8|-154.0|-92.7
JUBLPHARMA.NS,964.45,-112.97,989.9,786.05,944.6,944.6,22.7,2.1,2.1,False,True,True,134.1|96.1|95.4|108.1|95.8|85.5|67.7|32.0|23.8|12.6|18.0|11.0|-38.7|-124.4|-130.7|-127.8|-136.7|-194.6|-111.8|-113.0
MANAPPURAM.NS,288.25,-158.26,314.99,232.32,287.0,287.0,24.07,0.44,0.44,False,True,True,89.4|72.2|30.1|85.8|134.1|148.6|150.6|169.0|153.2|132.3|117.3|94.2|31.4|-30.6|-60.0|-30.5|-50.1|-108.3|-82.8|-158.3
