Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
RELIANCE.NS,1291.6,-142.21,1335.14,1284.06,1287.15,1287.15,0.59,0.35,0.35,True,True,True,19.2|-30.2|-52.6|-47.5|-85.5|-99.1|-99.7|-69.9|-54.5|-55.1|-43.6|-50.8|-55.3|-55.6|-76.9|-96.6|-122.0|-126.3|-148.0|-142.2
TCS.NS,2200.0,-132.51,2279.42,2176.88,2176.88,2198.1,1.06,1.06,0.09,True,True,True,-109.4|-170.8|-184.4|-202.2|-149.4|-126.6|-64.5|-60.8|-55.4|-53.0|-30.8|-42.9|-50.4|-41.5|-48.0|0.3|172.1|-23.4|-117.3|-132.5
BRITANNIA.NS,5101.0,-135.18,5286.75,5035.0,5035.0,5035.0,1.31,1.31,1.31,True,True,True,-240.9|-264.1|-212.9|-160.0|-116.0|-113.6|-76.0|-91.7|-88.4|-80.7|-71.4|-65.7|-62.8|-56.8|-93.3|-126.4|-162.0|-194.1|-176.3|-135.2
ITC.NS,280.05,-126.4,292.23,275.05,275.05,275.05,1.82,1.82,1.82,True,True,True,-22.9|-103.4|-79.0|-18.0|24.2|28.4|50.9|-12.8|-4.8|-114.0|-98.7|-125.7|-134.2|-141.0|-180.3|-237.3|-209.8|-206.1|-162.6|-126.4
HDFCBANK.NS,746.4,-73.68,759.51,726.65,733.15,733.15,2.72,1.81,1.81,True,True,True,-139.3|-190.3|-170.1|-90.3|-47.8|-76.7|-70.2|-95.6|-77.4|-34.2|80.9|75.5|-55.2|-79.1|-136.1|-141.2|-124.2|-82.4|-68.3|-73.7
BHARTIARTL.NS,1794.9,-69.18,1846.29,1740.5,1740.5,1777.4,3.13,3.13,0.98,True,True,True,-225.4|-237.7|-167.1|65.3|166.4|186.3|145.6|100.9|71.8|42.8|35.0|-3.0|-3.2|-3.6|-29.5|-56.1|-77.4|-48.0|-55.6|-69.2
HCLTECH.NS,1148.5,-37.8,1167.23,1103.4,1103.4,1147.0,4.09,4.09,0.13,True,True,True,-57.9|-84.8|-93.3|-115.6|-108.9|-113.3|-36.5|-39.8|-31.9|-37.0|-25.3|-30.8|-33.6|-21.3|53.6|113.2|216.5|81.4|-11.8|-37.8
SBILIFE.NS,1791.6,-139.6,1846.13,1717.61,1759.0,1759.0,4.31,1.85,1.85,True,True,True,13.0|-28.9|-35.6|-2.1|30.7|17.1|83.9|78.2|61.6|85.9|136.5|107.5|47.0|18.7|-90.4|-159.5|-218.4|-218.2|-205.8|-139.6
HINDUNILVR.NS,2113.4,-113.85,2192.7,2022.5,2065.7,2065.7,4.49,2.31,2.31,True,True,True,22.6|-13.0|-32.7|-74.6|-60.8|-121.4|-108.5|-171.4|-191.8|-157.9|-123.1|-112.3|-111.2|-101.0|-145.6|-188.5|-192.9|-169.8|-150.1|-113.8
HDFCLIFE.NS,580.7,-116.2,602.4,555.1,570.25,570.25,4.61,1.83,1.83,True,True,True,69.8|8.3|-8.8|43.7|54.8|-3.7|55.1|26.7|63.5|90.5|97.9|91.0|35.6|4.6|-99.1|-174.0|-254.4|-225.3|-189.5|-116.2
M&M.NS,3032.9,-83.24,3093.65,2896.0,2913.1,2913.1,4.73,4.11,4.11,True,True,True,60.6|14.6|-40.3|-21.3|-28.8|-78.2|-48.7|-53.7|-44.4|-64.7|-20.7|-41.3|-40.5|-43.7|-98.5|-153.8|-160.4|-129.0|-108.5|-83.2
ULTRACEMCO.NS,10884.0,-178.47,11455.15,10325.0,10846.0,10846.0,5.41,0.35,0.35,False,True,True,-15.4|-130.8|-145.8|-87.9|-116.0|-127.0|-122.7|-128.9|-89.0|-47.0|2.2|-15.1|0.4|2.6|-60.9|-124.3|-172.5|-166.2|-176.7|-178.5
WIPRO.NS,196.7,-58.18,198.95,186.5,187.0,188.15,5.47,5.19,4.54,False,False,True,-142.0|-230.8|-248.0|-207.9|-144.5|-108.1|-41.8|-18.0|31.8|85.0|149.8|117.8|76.2|59.5|121.6|114.0|130.7|71.9|54.3|-58.2
ICICIBANK.NS,1259.5,23.14,1253.07,1187.6,1213.7,1213.7,6.05,3.77,3.77,False,True,True,-80.2|-101.4|-105.2|-84.0|-75.4|-77.0|-82.1|-104.8|-79.0|-12.7|109.7|119.1|85.5|58.9|18.8|-58.6|-121.9|-86.2|-22.8|23.1
BAJAJFINSV.NS,1702.5,-119.48,1759.31,1597.0,1693.8,1698.0,6.61,0.51,0.27,False,True,True,-6.5|-93.3|-125.3|-123.4|-107.6|-101.5|-58.6|-34.8|-25.9|-5.4|86.6|83.9|81.3|78.1|34.7|-12.4|-90.7|-102.2|-121.1|-119.5
KOTAKBANK.NS,375.7,-86.87,383.23,345.5,372.2,372.2,8.74,0.94,0.94,False,True,True,50.3|-17.3|30.7|67.1|168.3|173.9|100.3|37.5|40.9|72.2|195.1|146.7|105.4|92.9|51.0|-39.8|-84.9|-57.5|-39.0|-86.9
MARUTI.NS,13061.0,-44.28,13119.8,11887.34,12700.0,12700.0,9.87,2.84,2.84,False,True,True,31.9|-51.9|-97.9|-103.2|-50.7|-112.4|-107.3|-109.7|-75.3|-71.6|-30.6|-17.7|5.2|25.1|-16.9|-72.0|-104.2|-53.8|-31.6|-44.3
BPCL.NS,294.45,-17.73,295.5,266.6,276.6,290.1,10.45,6.45,1.5,False,False,True,-126.3|-203.4|-115.7|-93.5|-151.3|-187.6|-122.1|-84.2|-18.6|-28.9|90.9|74.3|83.7|86.7|19.5|-1.2|-31.9|-47.4|-24.1|-17.7
DRREDDY.NS,1282.8,-69.18,1302.42,1148.4,1230.0,1248.4,11.7,4.29,2.76,False,True,True,4.6|-16.4|-38.2|-2.1|77.0|79.2|77.2|49.7|32.3|9.1|42.4|71.0|66.7|37.7|6.8|-38.0|-128.0|-137.0|-120.9|-69.2
UPL.NS,636.1,-44.12,641.75,565.15,618.3,630.0,12.55,2.88,0.97,False,True,True,106.7|-83.8|-148.7|-89.7|-104.4|-114.9|-59.9|-102.2|-98.3|-97.6|58.1|119.5|108.3|92.8|30.3|30.7|-12.1|-3.9|-16.2|-44.1
