Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
NETFPHARMA.NS,23.36,,23.36,23.3,23.36,23.36,0.24,0.0,0.0,True,True,True,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
ITC.NS,277.0,-206.14,294.14,275.2,275.2,275.2,0.65,0.65,0.65,True,True,True,25.4|-1.7|-22.9|-103.4|-79.0|-18.0|24.2|28.4|50.9|-12.8|-4.8|-114.0|-98.7|-125.7|-134.2|-141.0|-180.3|-237.3|-209.8|-206.1
SYMPHONY.NS,690.2,-94.25,740.63,683.55,683.55,683.55,0.97,0.97,0.97,True,True,True,17.3|3.8|-45.2|-95.0|-137.2|-126.4|-117.2|-93.4|-191.0|-150.9|-156.0|-137.8|-126.8|-101.8|-102.2|-100.5|-105.2|-105.6|-101.1|-94.3
ODIGMA.NS,20.46,-211.06,25.59,20.15,20.15,20.15,1.54,1.54,1.54,True,True,True,-66.9|0.9|15.4|-76.1|-86.5|-73.1|-90.8|-97.6|-97.4|-91.8|1.7|39.8|-81.5|-190.6|-245.0|-203.6|-211.6|-240.8|-234.1|-211.1
MAPMYINDIA.NS,815.9,-97.57,917.11,795.0,805.0,805.0,2.63,1.35,1.35,True,True,True,211.0|125.4|401.0|234.3|166.0|134.9|117.0|-7.6|-0.1|-51.1|-129.3|-173.7|-156.8|-163.4|-151.7|-130.3|-132.5|-103.0|-99.0|-97.6
TCS.NS,2241.7,-23.44,2293.95,2176.88,2176.88,2224.8,2.98,2.98,0.76,True,True,True,-105.5|-120.4|-109.4|-170.8|-184.4|-202.2|-149.4|-126.6|-64.5|-60.8|-55.4|-53.0|-30.8|-42.9|-50.4|-41.5|-48.0|0.3|172.1|-23.4
VOLTAS.NS,1235.0,-125.77,1273.46,1186.8,1198.6,1204.0,4.06,3.04,2.57,True,True,True,-68.8|-125.2|-165.1|-174.9|-170.1|-134.8|-140.7|-130.7|-77.4|-64.9|-68.1|-71.1|-53.6|-59.0|-65.5|-66.8|-68.3|-110.5|-125.9|-125.8
KALYANKJIL.NS,353.0,-47.76,360.96,337.0,337.0,338.1,4.75,4.75,4.41,True,True,True,-50.3|-1.1|-182.9|-343.5|-329.0|-209.2|-169.5|-166.3|-134.2|-120.3|-87.9|-69.4|-55.2|-55.2|-51.0|-47.6|-37.7|-56.8|-57.4|-47.8
BHARTIARTL.NS,1824.1,-48.03,1848.65,1740.5,1740.5,1777.4,4.8,4.8,2.63,True,True,True,-70.1|-65.3|-225.4|-237.7|-167.1|65.3|166.4|186.3|145.6|100.9|71.8|42.8|35.0|-3.0|-3.2|-3.6|-29.5|-56.1|-77.4|-48.0
HCLTECH.NS,1179.0,81.39,1170.48,1103.4,1103.4,1165.2,6.85,6.85,1.18,False,False,True,-74.4|-65.7|-57.9|-84.8|-93.3|-115.6|-108.9|-113.3|-36.5|-39.8|-31.9|-37.0|-25.3|-30.8|-33.6|-21.3|53.6|113.2|216.5|81.4
HATSUN.NS,914.1,-79.16,931.53,846.17,892.55,892.55,8.03,2.41,2.41,False,True,True,44.2|59.4|52.2|-4.8|-88.3|-98.3|-76.0|-122.8|-139.7|-71.9|-70.4|-111.2|-120.4|-74.8|-75.8|-89.8|-135.1|-50.1|-54.2|-79.2
VINATIORGA.NS,1304.5,-98.2,1334.58,1203.0,1277.5,1277.5,8.44,2.11,2.11,False,True,True,226.6|172.4|124.2|25.8|-28.4|26.9|20.1|74.7|31.3|-18.6|-12.4|-41.9|-2.3|-13.4|-54.5|-68.5|-135.4|-99.4|-109.9|-98.2
BLUESTARCO.NS,1580.8,-137.3,1652.68,1450.0,1508.1,1508.1,9.02,4.82,4.82,False,True,True,-6.4|-46.2|-136.1|-184.0|-191.9|-175.5|-140.2|-106.6|-127.6|-73.7|-61.7|-55.4|-60.1|-58.1|-76.2|-56.5|-103.0|-162.1|-164.8|-137.3
CDSL.NS,1218.2,-13.9,1218.41,1116.3,1152.7,1198.7,9.13,5.68,1.63,False,False,True,-67.8|-91.7|-122.5|-161.7|-144.3|-128.9|-119.9|-130.3|-80.9|-57.2|-59.0|-63.1|-33.2|-15.5|32.3|46.0|67.8|12.8|-10.0|-13.9
WIPRO.NS,204.1,71.92,198.66,186.5,187.0,201.58,9.44,9.14,1.25,False,False,True,-147.8|-137.5|-142.0|-230.8|-248.0|-207.9|-144.5|-108.1|-41.8|-18.0|31.8|85.0|149.8|117.8|76.2|59.5|121.6|114.0|130.7|71.9
