Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
ICICIBANK.NS,1245.4,-93.23,1326.3,1240.1,1240.1,1240.1,0.43,0.43,0.43,True,True,True,11.4|30.7|-29.6|10.2|25.5|-95.9|-264.9|-280.0|-199.1|-257.2|-309.2|-170.4|-150.4|-167.2|-156.9|-123.5|-81.5|-72.0|-94.8|-93.2
BAJAJFINSV.NS,1710.3,-108.03,1881.42,1702.1,1702.1,1702.1,0.48,0.48,0.48,True,True,True,79.2|84.4|61.1|87.9|58.5|-67.1|-283.9|-351.0|-226.6|-204.3|-206.9|-136.8|-145.2|-152.1|-146.8|-118.2|-99.8|-81.1|-107.3|-108.0
HINDUNILVR.NS,2082.7,-120.01,2232.48,2069.0,2069.0,2069.0,0.66,0.66,0.66,True,True,True,-105.8|-47.4|-18.0|8.9|19.7|-26.1|-72.4|-133.5|-146.1|-155.0|-186.2|-157.7|-167.3|-173.9|-129.8|-99.6|-95.4|-98.0|-127.3|-120.0
KOTAKBANK.NS,366.75,-92.15,396.3,363.35,363.35,363.35,0.94,0.94,0.94,True,True,True,8.5|83.0|85.2|47.8|30.5|-59.7|-139.6|-187.9|-157.8|-191.5|-241.8|-174.9|-173.8|-179.0|-180.0|-147.9|-115.8|-96.1|-106.6|-92.2
HDFCLIFE.NS,623.65,-87.5,676.66,617.2,617.2,617.2,1.05,1.05,1.05,True,True,True,106.0|145.2|108.9|106.1|100.7|21.9|-43.3|-127.7|-147.1|-169.7|-211.1|-162.4|-154.0|-146.1|-149.2|-135.6|-97.7|-77.3|-87.6|-87.5
HDFCBANK.NS,780.45,-151.03,860.21,770.0,770.0,770.0,1.36,1.36,1.36,True,True,True,-105.5|-54.8|-86.0|-113.5|-134.9|-170.3|-191.2|-219.9|-156.7|-172.8|-207.3|-138.9|-144.5|-138.8|-142.3|-96.4|-69.6|-68.1|-147.3|-151.0
BAJFINANCE.NS,830.55,-122.11,936.49,819.25,819.25,819.25,1.38,1.38,1.38,True,True,True,115.7|121.1|83.3|78.8|59.6|19.1|-54.1|-131.1|-108.2|-121.5|-161.7|-117.4|-166.6|-199.5|-177.7|-135.6|-119.5|-98.3|-124.4|-122.1
ITC.NS,299.95,-93.19,311.02,295.8,297.1,297.1,1.4,0.96,0.96,True,True,True,112.4|91.4|57.2|27.7|-5.1|-61.9|-102.5|-103.7|-121.1|-128.3|-163.5|-122.4|-93.2|-121.2|-126.5|-81.5|-76.1|-82.1|-117.9|-93.2
ASIANPAINT.NS,2195.4,-85.39,2293.43,2162.6,2162.6,2175.1,1.52,1.52,0.93,True,True,True,-41.5|-4.2|-3.7|-5.6|-63.0|-140.4|-309.1|-320.9|-207.9|-170.9|-216.3|-101.0|-110.7|-120.2|-121.5|-103.3|-69.5|-52.5|-90.7|-85.4
CIPLA.NS,1256.4,-186.3,1316.6,1235.4,1235.4,1235.4,1.7,1.7,1.7,True,True,True,24.3|-54.7|-43.0|50.4|145.7|82.0|11.9|-106.8|-104.5|-109.1|-149.7|-39.7|-32.3|-45.6|-130.8|-161.8|-240.0|-249.0|-276.2|-186.3
